Building Number,ADDRESS,Block #,Red Tags,TAG_COLOR,Building Use,Building Area (sqft),Year Built,Age (years),Value ($),Permit Issued Date,Permit Finaled Date,Time Interval (days),Time Interval (months),INITIAL_DAMAGE_DESCRIPTION,Chimney,Foundation,Damage State,Latitude,Longitude,PH_ENGLISH,PH_NO18UNDER,PASIAN,PHISLAT,PAFRICAN,INCOME,PHU_OWNED,PHIGHSCH_DIPLOMA,,
11,451 GREENBACH ST,South,0,Yellow,Residential,1287,1955,61,"$477,500",NaN,NaN,NaN,NaN,masonry chimney - minor cracks,1,0,1,38.280265,-122.299062,98.35924007,76.33851468,5.806451613,18.02656546,5.161290323,42730,49.30915371,92.68418341,,
12,2379 BOHEN ST,South,0,Yellow,Residential,2100,1956,60,"$709,600",NaN,NaN,NaN,NaN,Top of Chimney down,0,0,2,38.281107,-122.298429,98.35924007,76.33851468,5.806451613,18.02656546,5.161290323,42730,49.30915371,92.68418341,,
13,2300 BOHEN ST,East,0,Yellow,Residential,1268,1955,61,"$365,800",NaN,NaN,NaN,NaN,chimney cracks,1,0,1,38.281599,-122.296351,98.35924007,76.33851468,5.806451613,18.02656546,5.161290323,42730,49.30915371,92.68418341,,
14,2158 HARDING AVE,East,0,Yellow,Residential,400,NaN,NaN,NaN,11/21/14,1/15/15,54,1.8,chimney collapsed roof at front entrance,1,0,2,38.280978,-122.271491,68.56435644,56.43564356,6.621004566,54.33789954,1.674277017,16210,31.68316832,64.01564537,,
15,2172 WILKINS AVE,East,0,Yellow,Residential,1614,1936,80,"$507,000",9/3/14,10/14/14,41,1.4,chimney,1,0,1,38.281001,-122.269936,68.56435644,56.43564356,6.621004566,54.33789954,1.674277017,16210,31.68316832,64.01564537,,
16,1164 SYLVIA CT,East,1,Red,Residential,2400,NaN,NaN,NaN,9/3/14,NaN,NaN,NaN,carport leaning and likely to collapse,0,0,2,38.280948,-122.265075,94.14965986,39.31972789,0.680786687,69.32677761,0,18922,52.24489796,66.52200868,,
17,1136 SYLVIA CT,East,0,Yellow,Residential,Unclear,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Stringer at patio is out-of plumb, recommend repair ASAP. Porch underneath canopy/trellis",0,0,2,38.280819,-122.26445,94.14965986,39.31972789,0.680786687,69.32677761,0,18922,52.24489796,66.52200868,,
18,1134 SYLVIA CT,East,1,Red,Residential,1600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,total collapse - parking shelter,0,0,4,38.281134,-122.264357,94.14965986,39.31972789,0.680786687,69.32677761,0,18922,52.24489796,66.52200868,,
19,1432 PERKINS ST,East,0,Yellow,Residential,1055,1966,50,"$412,600",NaN,NaN,NaN,NaN,chimney damage - top of chimney removed,1,0,2,38.282376,-122.25923,92.30769231,61.53846154,1.163502756,39.92651562,9.063074097,23192,71.20315582,78.74251497,,
20,2154 STERN DR,East,0,Yellow,Residential,1600,NaN,NaN,NaN,11/12/14,expired on 10/31/15,NaN,NaN,chimney damaged taken down,1,0,2,38.282544,-122.256005,92.30769231,61.53846154,1.163502756,39.92651562,9.063074097,23192,71.20315582,78.74251497,,
21,2156 STERN DR,East,0,Yellow,Residential,2400,NaN,NaN,NaN,11/25/14,4/24/15,149,5.0,chimney,1,0,1,38.282192,-122.256014,92.30769231,61.53846154,1.163502756,39.92651562,9.063074097,23192,71.20315582,78.74251497,,
22,222 SOSCOL AVE,East,0,Yellow,Commercial,3600,NaN,NaN,NaN,NaN,3/1/15,NaN,NaN,"cracked columns on gazebo, broken glazing, soffit dropping",0,0,2,38.283289,-122.274011,68.56435644,56.43564356,6.621004566,54.33789954,1.674277017,16210,31.68316832,64.01564537,,
23,1076 SHETLER AVE,East,0,Yellow,Residential,1271,1950,66,"$453,100",10/22/14,10/30/14,8,0.3,"chimney damage, top off",1,0,2,38.28315,-122.269871,68.56435644,56.43564356,6.621004566,54.33789954,1.674277017,16210,31.68316832,64.01564537,,
24,2069 S TERRACE DR,East,0,Yellow,Residential,1364,1958,58,"$451,100",NaN,NaN,NaN,NaN,superficial damage to chimney - section of block wall topped,1,0,2,38.283499,-122.269412,68.56435644,56.43564356,6.621004566,54.33789954,1.674277017,16210,31.68316832,64.01564537,,
25,2079 SOMMER ST,East,0,Yellow,Residential,1066,1964,52,"$403,700",repair chimney 12/19/14; repair gas line 2/25/15,chimney finaled on 3/17/15; gas line finaled on 3/17/15,chimney 88 days; gas line 20 days,chimney 2.9 months; gas line 0.7 months,"chimney separates from structure, masonry fence wall cracks observed, garage door separates from rails and appears loose",1,0,2,38.283722,-122.260839,92.30769231,61.53846154,1.163502756,39.92651562,9.063074097,23192,71.20315582,78.74251497,,
26,2076 SEVILLE DR,East,0,Yellow,Residential,1100,1965,51,"$431,100",NaN,NaN,NaN,NaN,"Needs chimney sweep inspection, no falling hazard, cracks @ wall interface,earth redoing structure in backyard is leaning could collapse in after shock",1,0,1,38.283368,-122.257558,92.30769231,61.53846154,1.163502756,39.92651562,9.063074097,23192,71.20315582,78.74251497,,
27,1542 LAREDO ST,East,0,Yellow,Residential,2182,1968,48,"$636,000",NaN,NaN,NaN,NaN,"wall cracking, movement of sill plate likely",0,0,2,38.284093,-122.25598,92.30769231,61.53846154,1.163502756,39.92651562,9.063074097,23192,71.20315582,78.74251497,,
28,312 SOSCOL AVE,East,0,Yellow,Commercial,10000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Marshall's - Ceiling damage,0,0,2,38.285948,-122.274614,92.30769231,61.53846154,1.163502756,39.92651562,9.063074097,23192,71.20315582,78.74251497,,
29,1119 CAYETANO DR,East,0,Yellow,Residential,1527,1971,45,"$511,900",11/14/14,6/3/15,199,6.6,Observed multiple crack & spalling of brick masonry on outside corners,0,0,2,38.288094,-122.266711,94.14965986,39.31972789,0.680786687,69.32677761,0,18922,52.24489796,66.52200868,,
30,1194 KANSAS AVE,East,0,Yellow,Residential,2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,partition wall damaged - restrict use around masonry wall between properties,0,0,2,38.285674,-122.264044,94.14965986,39.31972789,0.680786687,69.32677761,0,18922,52.24489796,66.52200868,,
31,1192 KANSAS AVE,East,0,Yellow,Residential,2500,NaN,NaN,NaN,10/4/14,4/14/15,190,6.3,partition wall damaged - restrict use around masonry wall between properties,0,0,2,38.285942,-122.264154,94.14965986,39.31972789,0.680786687,69.32677761,0,18922,52.24489796,66.52200868,,
32,1206 CAYETANO DR,East,0,Yellow,Residential,1615,NaN,NaN,"$488,000",9/23/14,12/22/14,89,3.0,chimney separated from house - building permit required,1,0,2,38.289283,-122.264554,100,59.73333333,1.837928154,15.45530493,0.083542189,36769,76.26666667,93.39622642,,
33,1220 CAYETANO DR,East,0,Yellow,Residential,1898,1986,30,"$514,600",repair fire place 9/18/14; replace tub 11/21/14,fireplace finaled on 10/24/14; tub expired on 5/20/15,fire place 36 days; tub NaN,fireplace 1.2 months; tub NaN,"chimney is leaning away from house, engineer to evaluate chimney to roof connection",1,0,2,38.289227,-122.264166,100,59.73333333,1.837928154,15.45530493,0.083542189,36769,76.26666667,93.39622642,,
34,903 SARATOGA DR,East,0,Yellow,Commercial,15000,NaN,NaN,NaN,remodel 9/10/14; repair fire sprinkler 10/3/14,remodel finaled on 12/5/14; fire sprinkler finaled on 9/25/14,remodel 86 days; fire sprinkler NaN,remodel 2.9 months; fire sprinkler NaN,"no fire alarm, no sprinklers, water damage",0,0,1,38.290055,-122.271391,98.36363636,72.36363636,6.92431562,20.69243156,1.368760064,40202,61.27272727,93.05103149,,
35,1065 OAKMONT CT,East,0,Yellow,Residential,3116,1985,31,"$1,179,300",10/6/14,11/26/14,50,1.7,chimney damaged,1,0,1,38.293329,-122.264223,100,59.73333333,1.837928154,15.45530493,0.083542189,36769,76.26666667,93.39622642,,
36,530 SILVERADO TRL,East,0,Yellow,Residential,1240,1935,81,"$419,400",9/12/14,10/14/14,32,1.1,chimney,1,0,1,38.294689,-122.275063,98.36363636,72.36363636,6.92431562,20.69243156,1.368760064,40202,61.27272727,93.05103149,,
37,61 DAVIS AVE,East,0,Yellow,Residential,1296,1942,74,"$457,400",NaN,NaN,NaN,NaN,brick chimney dislocated mortar joints at roof line,1,0,2,38.297289,-122.274555,98.36363636,72.36363636,6.92431562,20.69243156,1.368760064,40202,61.27272727,93.05103149,,
38,1007 TERRACE DR,East,0,Yellow,Residential,1202,1946,70,"$444,000",12/22/14,expired on 8/19/15,NaN,NaN,"chimney separates from wall for about 1"", windows are boarded up with particle board - chimney needs repair",1,0,2,38.296716,-122.26976,98.36363636,72.36363636,6.92431562,20.69243156,1.368760064,40202,61.27272727,93.05103149,,
39,50 EL MONTE WAY,East,0,Yellow,Residential,4035,1988,28,"$1,260,400",10/2/14,1/21/15,109,3.6,Restrictions around chimney,1,0,2,38.297012,-122.264172,100,86.03603604,0,10.0684262,8.308895406,58030,80.40540541,85.05882353,,
40,446 MONTECITO BLVD,East,0,Yellow,Residential,2141,1964,52,"$1,098,600",10/8/14,expired on 5/9/15,NaN,NaN,"Stone in chimney cracks in fireplace, contractor to review permit required",1,0,2,38.301251,-122.265748,97.84482759,69.61206897,1.900584795,19.73684211,0.14619883,33395,41.81034483,76.73649394,,
41,25 1ST ST,East,0,Yellow,Residential,1600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"shifted chimney, Restrictions around chimney area",1,0,2,38.303625,-122.27393,97.84482759,69.61206897,1.900584795,19.73684211,0.14619883,33395,41.81034483,76.73649394,,
42,1 1ST ST,East,0,Yellow,Residential,1800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"separation of chimney bricks, Restriction around chimney",1,0,2,38.303657,-122.273593,97.84482759,69.61206897,1.900584795,19.73684211,0.14619883,33395,41.81034483,76.73649394,,
43,1542 SILVERADO TRL,East,0,Yellow,Residential,1999,1938,78,"$399,000",9/26/14,expired on 3/25/15,NaN,NaN,"Some displacement @ gables wall/side wall & cracked chimney,do not use",1,0,2,38.306301,-122.277356,95.95375723,72.25433526,0,22.24183583,0,56694,57.99614644,89.306698,,
44,1417 VISTA AVE,East,0,Yellow,Residential,964,1940,76,"$459,100",NaN,NaN,NaN,NaN,brick separation Restrictions around chimeny & bwy,0,0,2,38.306193,-122.276991,95.95375723,72.25433526,0,22.24183583,0,56694,57.99614644,89.306698,,
45,1410 VALE AVE,East,0,Yellow,Residential,1012,1940,76,"$484,500",9/3/14,9/18/14,15,0.5,chimney,1,0,1,38.30604,-122.275431,95.95375723,72.25433526,0,22.24183583,0,56694,57.99614644,89.306698,,
46,68 SPRING ST,East,0,Yellow,Residential,1058,1941,75,"$489,100",NaN,NaN,NaN,NaN,"Restriction around chimney, crumbled chimney",1,0,2,38.305707,-122.275074,95.95375723,72.25433526,0,22.24183583,0,56694,57.99614644,89.306698,,
47,1322 EAST AVE,East,0,Yellow,Residential,1356,1938,78,"$527,300",3/26/15,expired on 9/28/15,NaN,NaN,"Restrictions around chimney, chimney separated from house",1,0,2,38.305488,-122.273311,95.95375723,72.25433526,0,22.24183583,0,56694,57.99614644,89.306698,,
48,1741 MEEK AVE,East,0,Yellow,Residential,1960,1955,61,"$790,200",NaN,NaN,NaN,NaN,Cracks @ mid height of fireplace @ exterior & interior,0,0,2,38.310312,-122.272433,95.95375723,72.25433526,0,22.24183583,0,56694,57.99614644,89.306698,,
49,1624 ORA DR,East,0,Yellow,Residential,994,1950,66,"$474,400",2/4/15,2/20/15,16,0.5,do not occupy area adjacent to chimney or utilize interior or exterior,1,0,2,38.310278,-122.274943,95.95375723,72.25433526,0,22.24183583,0,56694,57.99614644,89.306698,,
50,1710 SILVERADO TRL,East,0,Yellow,Residential,2400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Shear wall & diaphragm cracking,0,0,2,38.31168,-122.275825,100,86.03603604,0,10.0684262,8.308895406,58030,80.40540541,85.05882353,,
51,1018 ALABAMA ST,East,0,Yellow,Residential,808,1941,75,"$403,100",11/14/14,12/2/14,18,0.6,cracking and possible displacement/occupancy ok/fireplace cracking,0,0,1,38.31179,-122.274907,100,86.03603604,0,10.0684262,8.308895406,58030,80.40540541,85.05882353,,
52,1614 EAST AVE,East,0,Yellow,Residential,400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,fireplace missing entire top section from roof up,0,0,2,38.312464,-122.27202,100,86.03603604,0,10.0684262,8.308895406,58030,80.40540541,85.05882353,,
53,146 ASHLAR DR,East,0,Yellow,Residential,2640,1900,116,"$948,600",NaN,NaN,NaN,NaN,restricted to front door use only-cracked on multi fireplaces,0,0,2,38.312881,-122.274978,100,86.03603604,0,10.0684262,8.308895406,58030,80.40540541,85.05882353,,
54,177 ASHLAR DR,East,0,Yellow,Residential,1780,1968,48,"$604,700",NaN,NaN,NaN,NaN,chimney on verge of falling,1,0,2,38.313335,-122.273365,100,86.03603604,0,10.0684262,8.308895406,58030,80.40540541,85.05882353,,
55,203 ASHLAR DR,East,0,Yellow,Residential,1502,1968,48,"$574,300",NaN,NaN,NaN,NaN,Cracked and displaced chimney,1,0,2,38.313349,-122.273142,100,86.03603604,0,10.0684262,8.308895406,58030,80.40540541,85.05882353,,
56,103 ACACIA AVE,East,0,Yellow,Residential,2086,1939,77,"$686,100",10/14/14,4/20/15,186,6.2,fireplace cracking and damaged with missing brick,0,0,1,38.313793,-122.273506,100,86.03603604,0,10.0684262,8.308895406,58030,80.40540541,85.05882353,,
57,61 SYAR DR,East,0,Yellow,Residential,2613,1973,43,"$964,400",NaN,NaN,NaN,NaN,restrict use to fire place due to cracks ,0,0,2,38.319,-122.26995,100,86.03603604,0,10.0684262,8.308895406,58030,80.40540541,85.05882353,,
58,40 HOLLY CT,East,0,Yellow,Residential,2500,NaN,NaN,NaN,9/5/14,4/22/15,227,7.6,restricted use around near fireplace due to falling brick hazard,0,0,2,38.320048,-122.270498,100,86.03603604,0,10.0684262,8.308895406,58030,80.40540541,85.05882353,,
59,1802 SILVERADO TRL,East,1,Red,Residential,1304,1942,74,"$997,000",NaN,NaN,NaN,NaN,front awning cracked and sagging; racking,0,0,4,38.314358,-122.275509,100,86.03603604,0,10.0684262,8.308895406,58030,80.40540541,85.05882353,,
60,4000 BEL AIRE PLZ,North,1,Red,Commercial,62500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,leaning tower over entry (Target),0,0,4,38.32249,-122.308142,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
61,3700 LASSEN ST,North,1,Red,School,20000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall to be pulled back (gym),0,0,4,38.328592,-122.31174,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
62,3400 BAXTER AVE,North,0,Yellow,Commercial,15000,NaN,NaN,NaN,9/19/14,9/22/14,3,0.1,cracked plaster,0,0,1,38.322516,-122.304051,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
63,1558 TRANCAS ST,North,0,Yellow,Commercial,80000,NaN,NaN,NaN,9/11/14,9/26/14,15,0.5,"masonry columns damage, broken/fallen roof tiles, porch overhang",0,0,2,38.323126,-122.303807,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
64,3509 BAXTER AVE,North,0,Yellow,Residential,1189,1956,60,"$443,200",NaN,NaN,NaN,NaN,fireplace shear,0,0,2,38.323991,-122.306135,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
65,3502 BAXTER AVE,North,0,Yellow,Residential,1408,1956,60,"$491,900",9/19/14,expired on 3/18/15,NaN,NaN,"chimney collpased above roof, debris removed; do not use fireplace",1,0,2,38.323875,-122.305188,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
66,3512 BAXTER AVE,North,0,Yellow,Residential,1408,1956,60,"$468,400",9/23/14,expired on 3/22/15,NaN,NaN,top of brick chimney down,1,0,2,38.324481,-122.30598,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
67,3525 BECKWORTH DR,North,0,Yellow,Residential,1408,1956,60,"$500,800",9/15/14,10/24/14,39,1.3,chimney damage at roofline/stay clear of chimney,1,0,2,38.324298,-122.304084,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
68,1424 RUBICON ST,North,0,Yellow,Residential,1079,1956,60,"$475,600",NaN,NaN,NaN,NaN,"Racking damage to walls. Weight of unit on roof is questionable, minor interior cracks in walls",0,0,2,38.324082,-122.303195,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
69,3509 BECKWORTH DR,North,0,Yellow,Residential,1408,1956,60,"$499,900",12/23/14,1/6/15,13,0.4,chimney damage at roofline/stay clear of chimney,1,0,2,38.324368,-122.303185,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
70,3505 BECKWORTH DR,North,0,Yellow,Residential,1189,1956,60,"$457,900",9/12/14,3/11/15,179,6.0,chimney damage at roofline/stay clear of chimney,1,0,1,38.324401,-122.302983,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
71,3573 PALOMAR WAY,North,0,Yellow,Residential,1310,1956,60,"$477,400",NaN,NaN,NaN,NaN,chimney cracked and shifted/stay clear of falling hazards/do not use fireplace,1,0,2,38.325337,-122.30412,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
72,3500 BECKWORTH DR,North,0,Yellow,Residential,1636,1956,60,"$535,600",NaN,NaN,NaN,NaN,chimney damage at roofline/stay clear of chimney,1,0,2,38.324848,-122.303063,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
73,3521 JEFFERSON ST,North,0,Yellow,Residential,1189,1956,60,"$430,100",NaN,NaN,NaN,NaN,chimney fell - do not use fireplace,1,0,2,38.32505,-122.302232,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
74,3548 PALOMAR WAY,North,0,Yellow,Residential,1189,1956,60,"$452,500",NaN,NaN,NaN,NaN,provide permit to cap off property/stay clear of falling hazards/do not use fireplace,0,0,2,38.325945,-122.303361,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
75,3569 JEFFERSON ST,North,0,Yellow,Residential,1261,1958,58,"$469,500",NaN,NaN,NaN,NaN,chimney fell - do not use fire place,1,0,2,38.326167,-122.303126,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
76,3581 JEFFERSON ST,North,0,Yellow,Residential,1261,1959,57,"$471,400",repair chimney 9/15/14; repair exterior wall 9/19/14,chimney expired on 3/14/15; exterior wall finaled on 12/8/14,chimney NaN; exterior wall 80 days,chimney NaN; exterior wall 2.7 months,chimney fell - do not use fire place,1,0,2,38.326438,-122.303356,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
77,1373 EL CAPITAN WAY,North,0,Yellow,Residential,1408,1956,60,"$501,200",NaN,NaN,NaN,NaN,chimney damage/stay clear until made safe-permit required,1,0,2,38.326384,-122.303985,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
78,3587 JEFFERSON ST,North,0,Yellow,Residential,1850,1958,58,"$559,000",9/12/14,8/20/15,338,11.3,chimney unsafe/stay clear until removed-permit required,1,0,2,38.326645,-122.303461,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
79,1415 EL CAPITAN WAY,North,0,Yellow,Residential,1079,1956,60,"$429,300",9/15/14,10/30/14,45,1.5,chimney damage/stay clear until made safe-permit required,1,0,2,38.326105,-122.304501,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
80,3568 PALOMAR WAY,North,0,Yellow,Residential,1408,1956,60,"$494,100",10/14/15,expired on 4/11/16,NaN,NaN,stay clear of falling hazards/do not use fireplace,0,0,2,38.325838,-122.304343,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
81,3572 PALOMAR WAY,North,0,Yellow,Residential,1408,1956,60,"$481,500",NaN,NaN,NaN,NaN,stay clear of falling hazards/do not use fireplace,0,0,2,38.325721,-122.304499,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
82,3576 PALOMAR WAY,North,0,Yellow,Residential,1189,1956,60,"$460,300",NaN,NaN,NaN,NaN,Chimney cracked at base,0,0,1,38.325599,-122.304646,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
83,1447 EL CAPITAN WAY,North,0,Yellow,Residential,1408,1956,60,"$510,500",NaN,NaN,NaN,NaN,chimney damage/stay clear until made safe-permit required,1,0,2,38.325633,-122.305067,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
84,3553 IDLEWILD AVE,North,0,Yellow,Residential,2017,1959,57,"$581,800",4/16/15,6/12/15,56,1.9,Restricted area around chimney,1,0,2,38.32506,-122.306979,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
85,3597 BECKWORTH DR,North,0,Yellow,Residential,1063,1959,57,"$445,900",9/15/14,9/24/14,9,0.3,stay clear of chimney area,1,0,2,38.325731,-122.308399,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
86,3591 BECKWORTH DR,North,0,Yellow,Residential,1684,1959,57,"$549,500",9/9/14,3/3/15,174,5.8,stay clear of chimney area,1,0,2,38.325804,-122.307797,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
87,1595 TALLAC ST,North,0,Yellow,Residential,1261,1959,57,"$458,300",1/7/15,2/27/15,50,1.7,stay clear of chimney area,1,0,2,38.327203,-122.308187,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
88,1432 EL CAPITAN WAY,North,0,Yellow,Residential,1085,1956,60,"$454,700",10/9/14,4/8/16,539,18.0,chimney damage at roofline/stay clear of chimney,1,0,2,38.326241,-122.305151,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
89,1408 EL CAPITAN WAY,North,0,Yellow,Residential,1408,1956,60,"$492,800",9/8/14,expired on 3/28/15,NaN,NaN,chimney damage at roofline/stay clear of chimney,1,0,2,38.326563,-122.304638,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
90,3660 EVERGREEN CT,North,0,Yellow,Residential,1261,1959,57,"$490,600",NaN,NaN,NaN,NaN,stay clear of chimney area,1,0,2,38.327686,-122.304781,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
91,3673 JEFFERSON ST,North,0,Yellow,Residential,1261,1958,58,"$472,600",9/26/14,expired on 3/29/15,NaN,NaN,"avoid left side yard, do not use fireplace - chimney partial collapsed & cracked",1,0,2,38.327898,-122.304536,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
92,1625 SIERRA AVE,North,0,Yellow,Residential,1407,1954,62,"$506,100",NaN,NaN,NaN,NaN,chimney failure - stay clear until damage is removed,1,0,2,38.32796,-122.308201,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
93,1601 SIERRA AVE,North,0,Yellow,Residential,1491,1954,62,"$513,500",NaN,NaN,NaN,NaN,crack running from base of fireplace up 4',0,0,2,38.328011,-122.307941,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
94,1415 SIERRA AVE,North,0,Yellow,Residential,1073,1955,61,"$418,500",repair water heater 12/12/14; repair fireplace 1/15/15,water heater finaled on 12/15/14; fireplace expired on 8/18/15,water heater 3 days; fireplace NaN,water heater 0.1 months; fireplace NaN,chimney failure - stay clear until damage is removed,1,0,2,38.328467,-122.305413,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
95,3641 HARKNESS ST,North,0,Yellow,Residential,1144,1961,55,"$432,900",11/14/14,9/14/15,304,10.1,top of brick chimney down,1,0,2,38.325116,-122.311828,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
96,3657 HARKNESS ST,North,0,Yellow,Residential,1261,1961,55,"$482,200",4/3/15,expired on 11/2/15,NaN,NaN,top of brick chimney down,1,0,2,38.325674,-122.312294,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
