OBJECTID,Building Occupancy,Building Address,Building Area/Neighborhood,Building Latitude,Building Longitude,Original Entry Date,Orignial Placard,Revision Entry Date,Updated Placard,Description,,,,,,,,,
56,,365 TOULUMNE,,38.10263228,-122.2382579,2014-08-24,,,,,,,,,,,,,
57,,845 GEORGIA,,38.10098537,-122.249171,2014-08-24,,,,CHIMNEY DAMAGE,,,,,,,,,
58,RESIDENCE,150 DENIO,,38.11621876,-122.2587372,2014-08-24,,,,STRUCTURAL DAMAGE,,,,,,,,,
59,RESIDENCE,152 DENIO,,38.11621799,-122.2587095,2014-08-24,,,,STRUCTURAL DAMAGE,,,,,,,,,
60,RESIDENCE,154 DENIO,,38.11621721,-122.2586817,2014-08-24,,,,STRUCTURAL DAMAGE,,,,,,,,,
61,RESIDENCE,156 DENIO,,38.11621644,-122.2586539,2014-08-24,,,,STRUCTURAL DAMAGE,,,,,,,,,
62,COMMERCIAL,100 GEORGIA,HOUSING AUTHORITY,38.10119087,-122.2613306,2014-08-25,YELLOW,,,"MECHANICAL REGISTER, LIGHTS & INTERIOR",,,,,,,,,
63,COMMERCIAL,485 SANTA CLARA,POST OFFICE,38.10085679,-122.2600022,2014-08-25,RED,,,CEILING DAMAGE-STRUCTURAL,,,,,,,,,
64,COMMERCIAL,225 AMADOR,CVRD,38.10147439,-122.2435568,2014-08-25,RED,,,"RECREATIONAL BUILDING, BRICK CHIMNEY FELL THROUGH ROOF",,,,,,,,,
65,RESIDENCE,1120 GEORGIA,,38.10097537,-122.2443972,2014-08-25,YELLOW,,,CHIMNEY DAMAGE-HAZARD,,,,,,,,,
66,RESIDENCE,1130 GEORGIA,,38.10097348,-122.2442795,2014-08-25,YELLOW,,,CHIMNEY DAMAGE-HAZARD,,,,,,,,,
67,,2770 HILLTOP DR,,38.29313465,-122.307622,2014-09-23,Yellow,2014-09-23, ,"No noticable damages observed from exterior, chimney damages are inspected.Stay away until further inspection",,,,,,,,,
68,,4026 WISTERIA WAY,,38.33785574,-122.3081806,2014-09-24,Green,2014-09-24, ,Cracks in wood ridge beam appear to be ordinary shrinkage cracks,,,,,,,,,
69,,2510 VINE HILL DR,,38.32856381,-122.3335583,2014-09-24,Green,2014-09-24, ,"Cracks in GYPBD, roof beam @ porch & interior beam twisted.",,,,,,,,,
70,,2072 W LINCOLN AVE,,38.30631597,-122.3088967,2014-09-16,Green,2014-09-16, ,minor cracks in chimney - home appears safe and secure,,,,,,,,,
71,,1152 STANFORD CT,,38.31523879,-122.3464215,2014-10-08,Yellow,2014-10-08, ,No use of front porch except to enter /exit home,,,,,,,,,
72,,10 TUSCANY CT,,38.31308639,-122.3428083,2014-09-05,Yellow,2014-09-05, ,front door does not open,,,,,,,,,
73,,1006 STONEBRIDGE DR,,38.2954933,-122.3375748,2014-09-05,Green,2014-09-05, ,"chimney fell from house, no futher threat of injury",,,,,,,,,
74,,1063 STONYBROOK DR,,38.30564293,-122.3456121,2014-09-05,Red,2014-09-05,downgraded to yellow,Chimney through roof,,,,,,,,,
75,,1030 THIRD ST,,38.29779375,-122.2846584,2014-09-25,Yellow,2014-09-25,downgraded from red,[ATC for 1030 through 1040 - but prev entries only for 1030 & 1040] OK to occ while construction of adj bldg prooceeds - parking area not accessible,,,,,,,,,
76,,923 VALLEJO ST,,38.30369034,-122.2876771,2014-09-25,Green,2014-09-25, ,"Rear of unit 921 bldg of stucco about 6"" above sill, dosent appear to have rim joist. Cracking 7"" above sill, may desire more through struc eng eval",,,,,,,,,
77,,2078 W PUEBLO AVE,,38.31338444,-122.3114762,2014-09-05,Green,2014-09-05, ,no placard placed - minor stucco cracks,,,,,,,,,
78,,2454 OLD SONOMA RD,,38.28809801,-122.3041195,2014-09-23,Yellow,2014-09-23, ,Rock veneer loose in front. Stairs coming loose from landings,,,,,,,,,
79,,4401 SUMMERFIELD DR,,38.34393049,-122.3134061,2014-09-05,Yellow,2014-09-05, ,"Cracked chimney, occupants stay 25 ft. aWy from chimney",,,,,,,,,
80,,1691 SILVERADO TRL,,38.311403,-122.2767124,2014-09-05,Green,2014-09-05, ,structure good,,,,,,,,,
81,,19 MARSALA WAY,,38.3443793,-122.3287145,2014-09-05,Green,2014-09-05, ,structure good,,,,,,,,,
82,,1025 CLARK ST,,38.31057925,-122.2747538,2014-09-05,Green,2014-09-05, ,structure good,,,,,,,,,
83,,3379 SOLANO AVE,,38.32060122,-122.3107468,2014-09-05,Yellow,2014-09-05, ,"Collapse, partial collapse, or building off foundation",,,,,,,,,
84,,1766 THIRD ST,,38.29581563,-122.2926307,2014-09-24,Green,2014-09-24, ,Non-struct/corbels slightly detach from struct. N-side under bay window;elect'l conduit detached from under box. Repair needed,,,,,,,,,
85,,1519 MAIN ST C,,38.30283697,-122.2887446,2014-09-10,Yellow,2014-09-10, ,[ATC shared with red for Unit A] no occupancy except as noted on tag - need engineer eval,,,,,,,,,
86,,3696 MONTANA DR,,38.3164642,-122.3462944,2014-09-05,Red,2014-09-05, ,"steel roof  off, damage with wind uplift, tank rocking (B-Tank)",,,,,,,,,
87,,1424 SECOND ST,,38.296794,-122.2886687,2014-09-05,Red,2014-09-05,downgraded to green,"adjacent building failing UPS, Pleasures, law office)",,,,,,,,,
88,,2201 PINE ST,,38.29083149,-122.2991319,2014-09-05,Yellow,2014-09-05, ,minor cracks in north exterior wall and south interior wall near stage,,,,,,,,,
89,,1558 TRANCAS ST,,38.32299867,-122.3037759,2014-09-05,Green,2014-09-05, ,(Lucky's CVS) - beam in fron tof CVS is shored up,,,,,,,,,
90,,2106 SPENCER ST,,38.30630319,-122.2958667,2014-09-24,Green,2014-09-24, ,Interior GYP board cracking,,,,,,,,,
91,,2425 THIRD ST,,38.29630717,-122.3010976,2014-09-05,Yellow,2014-09-05, ,chimney down from the ground level to the roof.,,,,,,,,,
92,,47 WILD RYE WAY,,38.32758529,-122.2995945,2014-09-24,Green,2014-09-24, ,Stucco diagonal cracks @ garage header and garage side door. Inspected,,,,,,,,,
93,,3539 LOWREY CT,,38.30171249,-122.3456071,2014-09-05,Yellow,2014-09-05, ,Clay roof tiles fractured wood roof rafters,,,,,,,,,
94,,1740 MYRTLE AVE,,38.31360809,-122.3047135,2014-09-05,Yellow,2014-09-05, ,chimney seperated from wall interior and exterior,,,,,,,,,
95,,4 ST FRANCIS CT,,38.27674807,-122.3072136,2014-09-25,Green,2014-09-25, ,"Already been yellow tag, restricted area is @ backyard. Looks like there is on-going work. We didn't gain access",,,,,,,,,
96,,25 BLUE JAY CT,,38.30838875,-122.3504164,2014-09-05,Yellow,2014-09-05, ,Chimney Down,,,,,,,,,
97,,2663 BRADFORD ST,,38.30899718,-122.3204485,2014-09-17,Green,2014-09-17, , ,,,,,,,,,
98,,3841 BRIARWOOD ST,,38.32723409,-122.3198024,2014-09-25,Green,2014-09-25, ,No visual damage,,,,,,,,,
99,,1283 FOSTER RD,,38.27268493,-122.3068055,2014-09-05,Green,2014-09-05, ,minor cracking interior sheetrock,,,,,,,,,
100,,35 WINDSOR CT,,38.31936855,-122.2884778,2014-10-10,Green,2014-10-10, ,Minor exterior/interior cracks. No visual structural damage,,,,,,,,,
101,,2342 LAKEPARK DR,,38.31523008,-122.2801961,2014-09-29,Yellow,2014-09-29, ,Advise not to use LR & master/spare bdrm. Under chimney (Monitor use) crack visible but not leaving owner claims wobbly chim. verified by contractor.,,,,,,,,,
102,,1520 MAIN ST,,38.30313163,-122.2883179,2014-09-17,Yellow,2014-09-17, ,front entry stair separated from structure; sewer line leaking; chimney above roof fell away - engr eval req - do not use fireplace,,,,,,,,,
103,,2217 MARIN ST,,38.30697841,-122.3004715,2014-09-05,Red,2014-09-05, ,"walkway  nails all pulled away from beams, 2x12 suports roof overhang",,,,,,,,,
104,,3060 PIEDMONT AVE,,38.31980506,-122.2964176,2014-09-05,Yellow,2014-09-05, ,Several loose brick and missing mortor joint,,,,,,,,,
105,,975 FIRST ST,,38.29923584,-122.2850644,2014-09-05,Red,2014-09-05, ,Unsafe building (Bounty Hunter),,,,,,,,,
106,,2771 HILLTOP DR,,38.29279854,-122.3075652,2014-09-23,Yellow,2014-09-23, ,Smell gas @ H20 heater. Recommend inspection on H20 heater. Chimney issues reported 7 other possible cracks. Stay clear from area until inspected,,,,,,,,,
107,,2815 JEFFERSON ST,,38.31394315,-122.2976879,2014-09-05,Yellow,2014-09-05, ,No information provided,,,,,,,,,
108,,3009 STADIUM AVE,,38.31554685,-122.3009516,2014-09-05,Yellow,2014-09-05, ,"Chimney is slightly twisted above roof line, stair step cracking is visable on the face of chimney",,,,,,,,,
109,,1114 LEGION AVE,,38.30606948,-122.2927558,2014-09-05,Yellow,2014-09-05, ,chimney shifted with fallen bricks,,,,,,,,,
110,,745 CENTRAL AVE,,38.31340839,-122.2876866,2014-09-25,Green,2014-09-25, ,Owner not present no access- exterior assessment only GREEN TAG,,,,,,,,,
111,,1450 FIRST ST,,38.29749703,-122.2892868,2014-09-24,Yellow,2014-09-24, ,[Andaz] façade work in entry,,,,,,,,,
112,,2149 KAYWOODIE ST,,38.32697846,-122.3181603,2014-10-03,Yellow,2014-10-03, ,OK to occupy avoid chimney area,,,,,,,,,
113,,1475 FOURTH ST,,38.29506194,-122.2882654,2014-09-05,Yellow,2014-09-05, , ,,,,,,,,,
114,,1735 G ST,,38.30498367,-122.3003068,2014-09-17,Green,2014-09-17, ,exterior only,,,,,,,,,
115,," ,  ",,38.30498367,-122.3003068,2014-09-25,Green,2014-09-25, ,"Green tag, no comments",,,,,,,,,
116,,2121 BROWN ST,,38.30785935,-122.2940911,2014-09-05,Yellow,2014-09-05, ,block wall falling down,,,,,,,,,
117,,1929 FIRST ST,,38.29731517,-122.2949639,2014-09-16,Yellow,2014-09-16, ,cracked foundation,,,,,,,,,
118,,2 EDITH CT,,38.31517993,-122.3106917,2014-09-23,Yellow,2014-09-23, ,severe cracking at roofline; collapse hazard - use caution around fireplace and do not use,,,,,,,,,
119,,1140 MAIN ST,,38.30033258,-122.2862559,2014-09-05,Yellow,2014-09-05, ,"fallen debris from damaged parapet, remove harzards",,,,,,,,,
120,,2730 BEECHAM CT,,38.31865302,-122.2881143,2014-09-25,Green,2014-09-25, ,Minor ext. stucco cracks (intermitent) GREEN TAG,,,,,,,,,
121,,1721 LINCOLN AVE,,38.3072603,-122.3009571,2014-09-05,Yellow,2014-09-05, ,brick facia separated from building structure and may fall to the north,,,,,,,,,
122,,4386 CHABLIS DR,,38.32913415,-122.3353054,2014-09-17,Green,2014-09-17, ,"onwer has replaced water heater, AC united moved 1 ft, now bolted down; sidewalk has buckled",,,,,,,,,
123,,4060 ESCUELA DR,,38.34214882,-122.3228341,2014-09-05,Yellow,2014-09-05, ,cracked chimney,,,,,,,,,
124,,2530 BUTTE ST,,38.30938224,-122.3044432,2014-09-25,Green,2014-09-25, ,"Green tag, minor crack recommend further inspection under bldg",,,,,,,,,
125,,35 FOREST LN,,38.3135552,-122.3340967,2014-09-23,Yellow,2014-09-23, ,"carport/trellis, crack in slab from exterior patio to inside slab - crack in heavy timber carport post (only carport red tagged) [ATC filed with yellow]",,,,,,,,,
126,,3325 CRAIGIE CT,,38.3076898,-122.3326788,2014-09-29,Yellow,2014-09-29, ,"Drive way slab damaged, cracked & damage. Restricted to use",,,,,,,,,
127,,1119 CAYETANO DR,,38.2881022,-122.2667156,2014-09-29,Yellow,2014-09-29, ,"Observed mulitple crack & spalling of brick masonry on outside corners,fireplace fndn across drive width of fireplace",,,,,,,,,
128,,1750 COLEMAN ST,,38.30373679,-122.2925346,2014-09-23,Yellow,2014-09-23, ,No occupancy from area in front of chimney out to 20',,,,,,,,,
129,,1432 F ST,,38.30539871,-122.2966174,2014-09-05,Yellow,2014-09-05, ,"House Shifted, damage to cripple walls",,,,,,,,,
130,,474 ADAMS ST,,38.29241301,-122.2896346,2014-09-08,Green,2014-09-08, ,green - no placard posted - minor damage to exterior stucco,,,,,,,,,
131,,2489 CREEKSIDE AVE,,38.30721489,-122.3190961,2014-09-23,Yellow,2014-09-23, ,"Top portion of chimney is leaning, avoid area around chimney",,,,,,,,,
132,,2489 CREEKSIDE AVE,,38.30721489,-122.3190961,2014-09-05,Yellow,2014-09-05, ,Front porch pilaster and brick leaning and displaced,,,,,,,,,
133,,2499 CREEKSIDE AVE,,38.30729322,-122.3195069,2014-09-05,Yellow,2014-09-05, ,Chinmey fell over in the rear yard. Cracking in stucco at foundation in the front.,,,,,,,,,
134,,3448 CRESTVIEW WAY,,38.30162162,-122.3405249,2014-09-05,Yellow,2014-09-05, ,Damaged trellis on front of house,,,,,,,,,
135,,2719 CROCKER ST,,38.31747878,-122.2920088,2014-09-25,Green,2014-09-25, ,AC unit connection damage,,,,,,,,,
136,,417 CROSS ST,,38.29184138,-122.2832315,2014-09-05,Yellow,2014-09-05, ,Collapsed chimney - Correct under pining/shore/slope/post and beams,,,,,,,,,
137,,1796 ELM ST,,38.2899857,-122.2940285,2014-09-05,Green,2014-09-05, ,(Lutheran Church),,,,,,,,,
138,,1796 ELM ST,,38.2899857,-122.2940285,2014-09-25,Green,2014-09-25, ,Observed minor non-structural stress cracks in drywall and no issues observed (Social Hall),,,,,,,,,
139,,2581 ELM ST,,38.2896624,-122.303848,2014-09-05,Yellow,2014-09-05, ,cracks at 4' level - dislodge bricks,,,,,,,,,
140,,2591 ELM ST,,38.28966241,-122.3040653,2014-09-05,Yellow,2014-09-05, ,Chimney falling hazard,,,,,,,,,
141,,2620 ELM ST,,38.29006888,-122.3049249,2014-09-25,Green,2014-09-25, ,Stucco crack (4'long) @ NE corner@sill pl. line,,,,,,,,,
142,,2716 ELM ST,,38.29008038,-122.3060986,2014-09-29,Green,2014-09-29, ,No damage from EQ,,,,,,,,,
143,," ,  ",,38.29008038,-122.3060986,2014-09-25,Green,2014-09-25, ,No issues,,,,,,,,,
144,,2737 ELM ST,,38.28975876,-122.3063747,2014-10-07,Green,2014-10-07, ,Cracks at CMU stem wall in front of house,,,,,,,,,
145,,958 ELNORA CT,,38.31750375,-122.2934112,2014-09-05,Yellow,2014-09-05, ,"masonry façade, wood framing exposed to weather",,,,,,,,,
146,,958 ELNORA CT,,38.31750375,-122.2934112,2014-09-25,Yellow,2014-09-25, ,"Chimney damage near roof line, fall zone, taped off",,,,,,,,,
147,,1142 CAYETANO DR,,38.28867719,-122.2666822,2014-09-25,Green,2014-09-25, ,No comments,,,,,,,,,
148,,1200 CAYETANO DR,,38.28904331,-122.2649141,2014-09-25,Green,2014-09-25, ,Superficial interior sheet rock cracks. Wood chimney structure has minor cracking @ intersection of house. Contractor/Engineer should look @ wood,,,,,,,,,
149,,1204 CAYETANO DR,,38.28930737,-122.2648094,2014-09-25,Green,2014-09-25, ,No restrictions,,,,,,,,,
150,,1206 CAYETANO DR,,38.28926938,-122.2646152,2014-09-18,Yellow,2014-09-18, ,chimney separated from house - wood frame chimney separated from house - building permit required,,,,,,,,,
151,,1220 CAYETANO DR,,38.28920601,-122.2641715,2014-09-18,Yellow,2014-09-18, ,"chimney is leaning away from house, engineer to evaluate chimney to roof connection",,,,,,,,,
152,,1222 CAYETANO DR,,38.28921438,-122.2639943,2014-09-05,Green,2014-09-05, ,minor cracking at openings and interior coerns at top of landing - cosmetic,,,,,,,,,
153,,1258 CAYETANO DR,,38.288617,-122.2629153,2014-09-05,Green,2014-09-05, ,"roof tiles missing, stucco cracks at front entry",,,,,,,,,
154,,1264 CAYETANO DR,,38.28856497,-122.2625534,2014-09-05,Green,2014-09-05, ,"drywall & stucco cracks at kitchen, family room, garage",,,,,,,,,
155,,1264 CAYETANO DR,,38.28856497,-122.2625534,2014-09-24,Green,2014-09-24, ,no damages - minor cracks,,,,,,,,,
156,,820 CAYMUS ST,,38.30335327,-122.2856261,2014-09-05,Yellow,2014-09-05, ,"CMU wall at garage has 1/2"" crack at upper section - have engr verify integrity",,,,,,,,,
157,,850 CAYMUS ST,,38.30308724,-122.2861535,2014-09-05,Yellow,2014-09-05, ,owner to have professional engineer or contractor evaluate foundation and porch,,,,,,,,,
158,,905 CAYMUS ST,,38.30237604,-122.286587,2014-09-17,Yellow,2014-09-17, ,"movement 1/2"" to 1"" at north half of struvture to the west - SE to inspect foundation bolts",,,,,,,,,
159,,927 CAYMUS ST,,38.30213325,-122.2868765,2014-09-05,Yellow,2014-09-05, ,Chimney down,,,,,,,,,
160,,2402 COLINA CT,,38.28474206,-122.30179,2014-09-05,Yellow,2014-09-05, ,stucco cracking,,,,,,,,,
161,,2402 COLINA CT,,38.28474206,-122.30179,2014-09-11,Green,2014-09-11, , ,,,,,,,,,
162,,2406 COLINA CT,,38.28467007,-122.3017667,2014-09-05,Yellow,2014-09-05, ,stucco cracking,,,,,,,,,
163,,2410 COLINA CT,,38.28459338,-122.3017562,2014-09-05,Yellow,2014-09-05, ,stucco cracking,,,,,,,,,
164,,2414 COLINA CT,,38.28457401,-122.301542,2014-09-05,Yellow,2014-09-05, ,stucco cracking,,,,,,,,,
165,,2418 COLINA CT,,38.28460432,-122.3015421,2014-09-05,Yellow,2014-09-05, ,stucco cracking,,,,,,,,,
166,,2422 COLINA CT,,38.28463431,-122.3015405,2014-09-05,Yellow,2014-09-05, ,stucco cracking,,,,,,,,,
167,,2426 COLINA CT,,38.28466066,-122.3015427,2014-09-05,Yellow,2014-09-05, ,stucco cracking,,,,,,,,,
168,,1071 DELBROOK DR,,38.30444351,-122.3426155,2014-09-29,Yellow,2014-09-29, ,Chimney damaged-Restricted area around chimney,,,,,,,,,
169,,2035 DELPHA DR,,38.31512782,-122.3087454,2014-09-05,Yellow,2014-09-05, ,"chimney broken at roofline, avoid using side yard near chimney until hazard is mitigated",,,,,,,,,
170,,2071 DELPHA DR,,38.31497678,-122.3095582,2014-09-05,Yellow,2014-09-05, ,"chimney broken at roofline, avoid side yard near chimney until hazard is mitigated",,,,,,,,,
171,,2164 DELPHA DR,,38.31482317,-122.3118777,2014-09-25,Green,2014-09-25, ,No comments,,,,,,,,,
172,,2935 DEVITA DR,,38.29208862,-122.3111969,2014-09-05,Yellow,2014-09-05, ,"Chimney collapsed onto cone dwy, with no collateral damage",,,,,,,,,
173,,2935 DEVITA DR,,38.29208862,-122.3111969,2014-09-05,Green,2014-09-05, ,Collapsed chimney,,,,,,,,,
174,,2972 DEVITA DR,,38.29241522,-122.3121612,2014-09-05,Green,2014-09-05, ,"Unreinforced masonry, screen wall at sidewalk and adjacent back property line has fallen",,,,,,,,,
175,,3013 DEVITA DR,,38.29270201,-122.3125941,2014-09-24,Yellow,2014-09-24, ,chimney crack per owner - could not verify from below (chimney intact),,,,,,,,,
176,,1427 F ST,,38.30499959,-122.2964992,2014-09-24,Green,2014-09-24, ,Required to evaluate front porch columns,,,,,,,,,
177,,2547 ADRIAN ST,,38.31382317,-122.2938597,2014-10-03,Yellow,2014-10-03, ,Masonry ext. walk got moderate cracks. Chimney has been cracked,,,,,,,,,
178,,2632 ADRIAN ST,,38.31523749,-122.2936555,2014-09-25,Green,2014-09-25, ,No visual damage,,,,,,,,,
179,,2670 ADRIAN ST,,38.31586542,-122.2938374,2014-09-24,Green,2014-09-24, ,Exterior only-no damage observed no restriciton,,,,,,,,,
180,,2671 ADRIAN ST,,38.31574549,-122.2944932,2014-09-24,Green,2014-09-24, ,"Minor cracking exterior cement plaster & minor cracking along GYP, BD, Joints",,,,,,,,,
181,,1005 ALABAMA ST,,38.31130897,-122.2756983,2014-09-05,Green,2014-09-05, ,structure good,,,,,,,,,
